Run  0:  {'AVG_LATENCY': 0.0046023272693097115, 'AVG_INTRA_LATENCY': 0.0003792839505243229, 'CPU': 0.5203737745098039, 'MEM': 0.5203737745098039, 'CLOUD_REQS': 0, 'COST': 2.7009852654923603, 'TIME': 2.31513022756488, 'START_TIME': 1.0, 'END_TIME': 3.31513022756488}
Run  34:  {'AVG_LATENCY': 0.003543070474339806, 'AVG_INTRA_LATENCY': 0.0004007400158976643, 'CPU': 0.4975490196078431, 'MEM': 0.4975490196078431, 'CLOUD_REQS': 0, 'COST': 2.7009120828600417, 'TIME': 2.3150674995943215, 'START_TIME': 1.0, 'END_TIME': 3.3150674995943215}
Run  35:  {'AVG_LATENCY': 0.0044450677425475465, 'AVG_INTRA_LATENCY': 0.00035272581570970174, 'CPU': 0.4772773692810456, 'MEM': 0.4772773692810456, 'CLOUD_REQS': 0, 'COST': 2.705879518661351, 'TIME': 2.3193253017097297, 'START_TIME': 1.0, 'END_TIME': 3.3193253017097297}
Run  36:  {'AVG_LATENCY': 0.0039930298772086845, 'AVG_INTRA_LATENCY': 0.00041948561480543815, 'CPU': 0.5071997549019607, 'MEM': 0.5071997549019607, 'CLOUD_REQS': 0, 'COST': 2.707031394804895, 'TIME': 2.3203126241184817, 'START_TIME': 1.0, 'END_TIME': 3.3203126241184817}
Run  37:  {'AVG_LATENCY': 0.004334739003050559, 'AVG_INTRA_LATENCY': 0.00041285938254534307, 'CPU': 0.5069955065359477, 'MEM': 0.5069955065359477, 'CLOUD_REQS': 0, 'COST': 2.7046919999488375, 'TIME': 2.318307428527575, 'START_TIME': 1.0, 'END_TIME': 3.318307428527575}
Run  38:  {'AVG_LATENCY': 0.004101889640505924, 'AVG_INTRA_LATENCY': 0.00037188113874229945, 'CPU': 0.5059742647058825, 'MEM': 0.5059742647058825, 'CLOUD_REQS': 0, 'COST': 2.7038243966983577, 'TIME': 2.317563768598592, 'START_TIME': 1.0, 'END_TIME': 3.317563768598592}
Run  39:  {'AVG_LATENCY': 0.0029599202025843187, 'AVG_INTRA_LATENCY': 0.0003822353133373332, 'CPU': 0.5153186274509803, 'MEM': 0.5153186274509803, 'CLOUD_REQS': 0, 'COST': 2.6921901367727377, 'TIME': 2.3075915458052036, 'START_TIME': 1.0, 'END_TIME': 3.3075915458052036}
Run  40:  {'AVG_LATENCY': 0.0033095141975531205, 'AVG_INTRA_LATENCY': 0.0003460263615689906, 'CPU': 0.5142973856209151, 'MEM': 0.5142973856209151, 'CLOUD_REQS': 0, 'COST': 2.6862288822616454, 'TIME': 2.3024818990814104, 'START_TIME': 1.0, 'END_TIME': 3.3024818990814104}
Run  41:  {'AVG_LATENCY': 0.0032251450280686295, 'AVG_INTRA_LATENCY': 0.000385886772367062, 'CPU': 0.5364583333333334, 'MEM': 0.5364583333333334, 'CLOUD_REQS': 0, 'COST': 2.6895249321472274, 'TIME': 2.3053070846976236, 'START_TIME': 1.0, 'END_TIME': 3.3053070846976236}
Run  42:  {'AVG_LATENCY': 0.00419956541894882, 'AVG_INTRA_LATENCY': 0.0004079123561432423, 'CPU': 0.5345690359477125, 'MEM': 0.5345690359477125, 'CLOUD_REQS': 0, 'COST': 2.6913641264016563, 'TIME': 2.3068835369157052, 'START_TIME': 1.0, 'END_TIME': 3.3068835369157052}
Run  43:  {'AVG_LATENCY': 0.004034944992015735, 'AVG_INTRA_LATENCY': 0.00043066596674748534, 'CPU': 0.5105187908496731, 'MEM': 0.5105187908496731, 'CLOUD_REQS': 0, 'COST': 2.7066478550630304, 'TIME': 2.3199838757683118, 'START_TIME': 1.0, 'END_TIME': 3.3199838757683118}
Run  44:  {'AVG_LATENCY': 0.0038733956999059257, 'AVG_INTRA_LATENCY': 0.00042600766997338645, 'CPU': 0.5405943627450981, 'MEM': 0.5405943627450981, 'CLOUD_REQS': 0, 'COST': 2.7027524370954668, 'TIME': 2.3166449460818286, 'START_TIME': 1.0, 'END_TIME': 3.3166449460818286}
Run  45:  {'AVG_LATENCY': 0.003946491243696587, 'AVG_INTRA_LATENCY': 0.0003881959517114865, 'CPU': 0.5344669117647061, 'MEM': 0.5344669117647061, 'CLOUD_REQS': 0, 'COST': 2.698016999444876, 'TIME': 2.3125859995241798, 'START_TIME': 1.0, 'END_TIME': 3.3125859995241798}
Run  46:  {'AVG_LATENCY': 0.0036029011427313492, 'AVG_INTRA_LATENCY': 0.000443412722942356, 'CPU': 0.5300245098039215, 'MEM': 0.5300245098039215, 'CLOUD_REQS': 0, 'COST': 2.7051570497491193, 'TIME': 2.3187060426421024, 'START_TIME': 1.0, 'END_TIME': 3.3187060426421024}
Run  47:  {'AVG_LATENCY': 0.004097166643243305, 'AVG_INTRA_LATENCY': 0.0003491095931311842, 'CPU': 0.4924428104575163, 'MEM': 0.4924428104575163, 'CLOUD_REQS': 0, 'COST': 2.702617677259665, 'TIME': 2.316529437651141, 'START_TIME': 1.0, 'END_TIME': 3.316529437651141}
Run  48:  {'AVG_LATENCY': 0.003991154303938005, 'AVG_INTRA_LATENCY': 0.00031333540288337524, 'CPU': 0.47441789215686286, 'MEM': 0.47441789215686286, 'CLOUD_REQS': 0, 'COST': 2.7032498979030075, 'TIME': 2.317071341059721, 'START_TIME': 1.0, 'END_TIME': 3.317071341059721}
Run  49:  {'AVG_LATENCY': 0.003829940307924556, 'AVG_INTRA_LATENCY': 0.00029964557318284377, 'CPU': 0.4446486928104575, 'MEM': 0.4446486928104575, 'CLOUD_REQS': 0, 'COST': 2.686762312696443, 'TIME': 2.3029391251683795, 'START_TIME': 1.0, 'END_TIME': 3.3029391251683795}
Run  50:  {'AVG_LATENCY': 0.004112541084784877, 'AVG_INTRA_LATENCY': 0.00035174849063856854, 'CPU': 0.4928002450980392, 'MEM': 0.4928002450980392, 'CLOUD_REQS': 0, 'COST': 2.7018625086220376, 'TIME': 2.315882150247461, 'START_TIME': 1.0, 'END_TIME': 3.315882150247461}
Run  51:  {'AVG_LATENCY': 0.003986235848485142, 'AVG_INTRA_LATENCY': 0.0003961496495790662, 'CPU': 0.5352839052287582, 'MEM': 0.5352839052287582, 'CLOUD_REQS': 0, 'COST': 2.690673305686408, 'TIME': 2.306291404874064, 'START_TIME': 1.0, 'END_TIME': 3.306291404874064}
Run  52:  {'AVG_LATENCY': 0.004023784161484832, 'AVG_INTRA_LATENCY': 0.0004220466655616468, 'CPU': 0.5149101307189541, 'MEM': 0.5149101307189541, 'CLOUD_REQS': 0, 'COST': 2.7028597078280723, 'TIME': 2.316736892424062, 'START_TIME': 1.0, 'END_TIME': 3.316736892424062}
Run  53:  {'AVG_LATENCY': 0.003932067116273402, 'AVG_INTRA_LATENCY': 0.00032758804975676904, 'CPU': 0.4739583333333335, 'MEM': 0.4739583333333335, 'CLOUD_REQS': 0, 'COST': 2.7036662574916774, 'TIME': 2.317428220707152, 'START_TIME': 1.0, 'END_TIME': 3.317428220707152}
Run  54:  {'AVG_LATENCY': 0.003873557260190336, 'AVG_INTRA_LATENCY': 0.0003793314115130596, 'CPU': 0.46420547385620925, 'MEM': 0.46420547385620925, 'CLOUD_REQS': 0, 'COST': 2.7063641386006108, 'TIME': 2.3197406902290947, 'START_TIME': 1.0, 'END_TIME': 3.3197406902290947}
Run  55:  {'AVG_LATENCY': 0.003415140681341758, 'AVG_INTRA_LATENCY': 0.0003762463300490695, 'CPU': 0.5356413398692811, 'MEM': 0.5356413398692811, 'CLOUD_REQS': 0, 'COST': 2.70704810667904, 'TIME': 2.3203269485820344, 'START_TIME': 1.0, 'END_TIME': 3.3203269485820344}
Run  56:  {'AVG_LATENCY': 0.0033227239624372615, 'AVG_INTRA_LATENCY': 0.00039366326537444685, 'CPU': 0.5093443627450979, 'MEM': 0.5093443627450979, 'CLOUD_REQS': 0, 'COST': 2.699909810635206, 'TIME': 2.3142084091158908, 'START_TIME': 1.0, 'END_TIME': 3.3142084091158908}
Run  57:  {'AVG_LATENCY': 0.0035585298149175817, 'AVG_INTRA_LATENCY': 0.0003820550345699388, 'CPU': 0.5126123366013071, 'MEM': 0.5126123366013071, 'CLOUD_REQS': 0, 'COST': 2.6964102452869723, 'TIME': 2.311208781674548, 'START_TIME': 1.0, 'END_TIME': 3.311208781674548}
Run  58:  {'AVG_LATENCY': 0.003948916331911593, 'AVG_INTRA_LATENCY': 0.0003966060811105198, 'CPU': 0.5109272875816993, 'MEM': 0.5109272875816993, 'CLOUD_REQS': 0, 'COST': 2.6990926292851873, 'TIME': 2.313507967958732, 'START_TIME': 1.0, 'END_TIME': 3.313507967958732}
Run  59:  {'AVG_LATENCY': 0.004134986462747843, 'AVG_INTRA_LATENCY': 0.0003665405486470597, 'CPU': 0.5086294934640523, 'MEM': 0.5086294934640523, 'CLOUD_REQS': 0, 'COST': 2.7052293790094883, 'TIME': 2.31876803915099, 'START_TIME': 1.0, 'END_TIME': 3.31876803915099}
Run  60:  {'AVG_LATENCY': 0.003924651839870773, 'AVG_INTRA_LATENCY': 0.00038124569580643233, 'CPU': 0.48401756535947704, 'MEM': 0.48401756535947704, 'CLOUD_REQS': 0, 'COST': 2.693500941278968, 'TIME': 2.3087150925248294, 'START_TIME': 1.0, 'END_TIME': 3.3087150925248294}
Run  61:  {'AVG_LATENCY': 0.0038850553468386434, 'AVG_INTRA_LATENCY': 0.0003893499692809116, 'CPU': 0.49050245098039214, 'MEM': 0.49050245098039214, 'CLOUD_REQS': 0, 'COST': 2.705305160416732, 'TIME': 2.318832994642913, 'START_TIME': 1.0, 'END_TIME': 3.318832994642913}
Run  62:  {'AVG_LATENCY': 0.0035426533997573134, 'AVG_INTRA_LATENCY': 0.00041685543661985826, 'CPU': 0.5359477124183006, 'MEM': 0.5359477124183006, 'CLOUD_REQS': 0, 'COST': 2.701852570578112, 'TIME': 2.315873631924096, 'START_TIME': 1.0, 'END_TIME': 3.315873631924096}
Run  63:  {'AVG_LATENCY': 0.00407454368823283, 'AVG_INTRA_LATENCY': 0.00032863680495664533, 'CPU': 0.48789828431372534, 'MEM': 0.48789828431372534, 'CLOUD_REQS': 0, 'COST': 2.7033571664816205, 'TIME': 2.3171632855556745, 'START_TIME': 1.0, 'END_TIME': 3.3171632855556745}
Run  64:  {'AVG_LATENCY': 0.003874438407997015, 'AVG_INTRA_LATENCY': 0.0004042611820239533, 'CPU': 0.5312500000000001, 'MEM': 0.5312500000000001, 'CLOUD_REQS': 0, 'COST': 2.7008380234099363, 'TIME': 2.31500402006566, 'START_TIME': 1.0, 'END_TIME': 3.31500402006566}
Run  65:  {'AVG_LATENCY': 0.004179656817001513, 'AVG_INTRA_LATENCY': 0.0003021836233544757, 'CPU': 0.45690359477124176, 'MEM': 0.45690359477124176, 'CLOUD_REQS': 0, 'COST': 2.6921656510730587, 'TIME': 2.3075705580626216, 'START_TIME': 1.0, 'END_TIME': 3.3075705580626216}
Run  66:  {'AVG_LATENCY': 0.0038966376829140063, 'AVG_INTRA_LATENCY': 0.00046976048773182487, 'CPU': 0.536611519607843, 'MEM': 0.536611519607843, 'CLOUD_REQS': 0, 'COST': 2.7044679078641995, 'TIME': 2.3181153495978855, 'START_TIME': 1.0, 'END_TIME': 3.3181153495978855}
Run  67:  {'AVG_LATENCY': 0.003954641372215349, 'AVG_INTRA_LATENCY': 0.00038131284846178924, 'CPU': 0.4971915849673203, 'MEM': 0.4971915849673203, 'CLOUD_REQS': 0, 'COST': 2.7045499377485496, 'TIME': 2.318185660927328, 'START_TIME': 1.0, 'END_TIME': 3.318185660927328}
Run  68:  {'AVG_LATENCY': 0.003980980112519847, 'AVG_INTRA_LATENCY': 0.0003540756253558324, 'CPU': 0.45920138888888884, 'MEM': 0.45920138888888884, 'CLOUD_REQS': 0, 'COST': 2.6982670434658567, 'TIME': 2.3128003229707343, 'START_TIME': 1.0, 'END_TIME': 3.3128003229707343}
Run  69:  {'AVG_LATENCY': 0.004058629626189276, 'AVG_INTRA_LATENCY': 0.00032949497814130406, 'CPU': 0.5301776960784313, 'MEM': 0.5301776960784313, 'CLOUD_REQS': 0, 'COST': 2.684447432840793, 'TIME': 2.3009549424349656, 'START_TIME': 1.0, 'END_TIME': 3.3009549424349656}
Run  70:  {'AVG_LATENCY': 0.003965019017913407, 'AVG_INTRA_LATENCY': 0.0004326351097717143, 'CPU': 0.5106209150326798, 'MEM': 0.5106209150326798, 'CLOUD_REQS': 0, 'COST': 2.698373332123413, 'TIME': 2.312891427534354, 'START_TIME': 1.0, 'END_TIME': 3.312891427534354}
Run  71:  {'AVG_LATENCY': 0.0039337388056958685, 'AVG_INTRA_LATENCY': 0.00035515248387667984, 'CPU': 0.5320159313725492, 'MEM': 0.5320159313725492, 'CLOUD_REQS': 0, 'COST': 2.6849930223207674, 'TIME': 2.301422590560658, 'START_TIME': 1.0, 'END_TIME': 3.301422590560658}
Run  72:  {'AVG_LATENCY': 0.0038354807100916565, 'AVG_INTRA_LATENCY': 0.00041434701818221834, 'CPU': 0.53375204248366, 'MEM': 0.53375204248366, 'CLOUD_REQS': 0, 'COST': 2.703390894826597, 'TIME': 2.3171921955656547, 'START_TIME': 1.0, 'END_TIME': 3.3171921955656547}
Run  73:  {'AVG_LATENCY': 0.0032494400906520953, 'AVG_INTRA_LATENCY': 0.00035346303034886615, 'CPU': 0.47579656862745107, 'MEM': 0.47579656862745107, 'CLOUD_REQS': 0, 'COST': 2.6899282811914977, 'TIME': 2.305652812449855, 'START_TIME': 1.0, 'END_TIME': 3.305652812449855}
Run  74:  {'AVG_LATENCY': 0.0038635165876277277, 'AVG_INTRA_LATENCY': 0.000385270940129498, 'CPU': 0.4994893790849674, 'MEM': 0.4994893790849674, 'CLOUD_REQS': 0, 'COST': 2.691378934879587, 'TIME': 2.3068962298967888, 'START_TIME': 1.0, 'END_TIME': 3.3068962298967888}
Run  75:  {'AVG_LATENCY': 0.003950462197949995, 'AVG_INTRA_LATENCY': 0.000378733828613675, 'CPU': 0.5337009803921567, 'MEM': 0.5337009803921567, 'CLOUD_REQS': 0, 'COST': 2.701477464526545, 'TIME': 2.315552112451324, 'START_TIME': 1.0, 'END_TIME': 3.315552112451324}
Run  76:  {'AVG_LATENCY': 0.0030532566060031425, 'AVG_INTRA_LATENCY': 0.0003637410322562331, 'CPU': 0.4817708333333335, 'MEM': 0.4817708333333335, 'CLOUD_REQS': 0, 'COST': 2.6992959960694476, 'TIME': 2.313682282345241, 'START_TIME': 1.0, 'END_TIME': 3.313682282345241}
Run  77:  {'AVG_LATENCY': 0.004085672428372084, 'AVG_INTRA_LATENCY': 0.000390948550132201, 'CPU': 0.5090890522875818, 'MEM': 0.5090890522875818, 'CLOUD_REQS': 0, 'COST': 2.705335651150647, 'TIME': 2.3188591295576972, 'START_TIME': 1.0, 'END_TIME': 3.3188591295576972}
Run  78:  {'AVG_LATENCY': 0.0036746935632880444, 'AVG_INTRA_LATENCY': 0.0003524602821892878, 'CPU': 0.5178717320261438, 'MEM': 0.5178717320261438, 'CLOUD_REQS': 0, 'COST': 2.692325076697671, 'TIME': 2.307707208598004, 'START_TIME': 1.0, 'END_TIME': 3.307707208598004}
Run  79:  {'AVG_LATENCY': 0.004321112634091571, 'AVG_INTRA_LATENCY': 0.000431718043426536, 'CPU': 0.5355902777777779, 'MEM': 0.5355902777777779, 'CLOUD_REQS': 0, 'COST': 2.7044664739450885, 'TIME': 2.3181141205243616, 'START_TIME': 1.0, 'END_TIME': 3.3181141205243616}
Run  80:  {'AVG_LATENCY': 0.003045655300468027, 'AVG_INTRA_LATENCY': 0.0003608476412615816, 'CPU': 0.4754391339869281, 'MEM': 0.4754391339869281, 'CLOUD_REQS': 0, 'COST': 2.705363369600635, 'TIME': 2.318882888229116, 'START_TIME': 1.0, 'END_TIME': 3.318882888229116}
Run  81:  {'AVG_LATENCY': 0.0035710033670752267, 'AVG_INTRA_LATENCY': 0.00038748181736935293, 'CPU': 0.5339052287581698, 'MEM': 0.5339052287581698, 'CLOUD_REQS': 0, 'COST': 2.702825794372666, 'TIME': 2.3167078237479997, 'START_TIME': 1.0, 'END_TIME': 3.3167078237479997}
Run  82:  {'AVG_LATENCY': 0.0036871968981937314, 'AVG_INTRA_LATENCY': 0.0004250436877930183, 'CPU': 0.5189440359477124, 'MEM': 0.5189440359477124, 'CLOUD_REQS': 0, 'COST': 2.6989832393050586, 'TIME': 2.3134142051186215, 'START_TIME': 1.0, 'END_TIME': 3.3134142051186215}
